id,name,profile_name,clicks,registrations,ftd_count,reg_rate,ftd_rate,ngr_per_ftd,total_ngr,retention_30d
582,"Barry, Taylor and Velazquez",PPC,29790,519,125,0.0174,0.2411,93.13,11640.8,0.4008
583,Martin-Ewing,PPC,99579,2903,691,0.0292,0.2383,67.92,46935.7,0.3095
584,"Kirby, Wheeler and Romero",PPC,40920,1023,279,0.025,0.2736,79.41,22155.4,0.4036
585,"Patel, Erickson and Evans",PPC,95197,1472,339,0.0155,0.2308,57.8,19594.1,0.335
586,Richardson Ltd,PPC,119319,2413,623,0.0202,0.2583,71.74,44691.5,0.3179
587,Whitney PLC,PPC,106992,1784,497,0.0167,0.2789,56.13,27896.7,0.2464
588,Robles-Swanson,PPC,70703,2170,545,0.0307,0.2512,105.74,57626.3,0.4071
589,"Soto, Carlson and Baker",PPC,35051,865,241,0.0247,0.2797,64.9,15640.8,0.3272
590,"Patton, Parsons and Lane",PPC,87335,2714,727,0.0311,0.2682,107.24,77965.2,0.3904
591,"Williams, Castillo and Warren",PPC,87021,1622,395,0.0186,0.2436,50.99,20141.6,0.3572
592,"Harvey, Randall and Hernandez",PPC,80936,2173,520,0.0269,0.2394,108.22,56274.6,0.3288
593,"Allen, Armstrong and Graves",PPC,63510,1422,318,0.0224,0.2243,90.99,28934.2,0.3001
594,Smith LLC,PPC,60921,1092,220,0.0179,0.2016,85.67,18846.8,0.4023
595,Hernandez-Vaughn,PPC,77971,1345,428,0.0173,0.3186,63.1,27008.7,0.2774
596,Shaw-Carr,PPC,43529,882,233,0.0203,0.2643,78.79,18357.3,0.26
597,Salas-Fitzgerald,PPC,51044,1316,278,0.0258,0.2112,100.98,28071.7,0.3675
598,Thornton PLC,PPC,33371,894,207,0.0268,0.2326,87.8,18174.7,0.228
599,Hoffman Ltd,PPC,37376,568,168,0.0152,0.2958,47.18,7925.71,0.3756
600,Fox-Edwards,PPC,85736,2623,693,0.0306,0.2642,82.64,57270.5,0.2602
601,Stevens PLC,Streamer,4151,504,239,0.1215,0.4755,84.27,20140.4,0.4572
602,Payne-Lowe,Streamer,2301,180,79,0.0784,0.4406,121.39,9590,0.4563
603,"Becker, Lara and Baker",Streamer,7079,670,252,0.0947,0.3772,129.19,32555.7,0.4741
604,Lee-Wright,Streamer,2171,148,59,0.0682,0.4034,72.23,4261.81,0.4553
605,"Evans, David and Hendrix",Streamer,3011,238,128,0.079,0.5397,128.87,16495.7,0.5456
606,Bush-Vaughn,Streamer,4950,496,250,0.1004,0.5054,123.85,30963.3,0.5333
607,Stewart-Bailey,Streamer,3247,328,130,0.1011,0.3976,83.39,10841.3,0.4522
608,"Hill, Martinez and Rhodes",Streamer,6687,760,353,0.1138,0.4655,148.5,52420,0.5728
609,Huang-Foster,Streamer,5729,567,202,0.099,0.3578,142.98,28881.4,0.4363
610,Blevins-Ballard,Streamer,2551,219,111,0.0862,0.5099,109.43,12146.5,0.4184
611,Williams-Moses,Streamer,7532,538,270,0.0715,0.5032,144.1,38908.3,0.5345
612,Reed Group,Streamer,2846,394,190,0.1387,0.4844,104.46,19848.3,0.4675
613,"Scott, Mendoza and Harris",Streamer,6487,526,226,0.0812,0.4302,137.89,31162.5,0.4558
614,"Nelson, Hoffman and Nelson",Streamer,7898,699,336,0.0886,0.4809,140.51,47212.8,0.4065
615,Gilbert PLC,Streamer,4589,387,177,0.0845,0.4594,82.5,14603,0.3866
616,Sanchez Ltd,Streamer,2399,162,64,0.0678,0.4006,96.25,6160.05,0.4299
617,"Perez, Hall and Garcia",Streamer,2411,279,111,0.116,0.3996,109.04,12103,0.5639
618,Love-Garcia,Streamer,6115,596,265,0.0975,0.4453,148.93,39465.3,0.4235
619,Smith PLC,Streamer,2211,275,97,0.1247,0.3541,87.62,8498.85,0.445
620,Russell Group,Streamer,4590,371,166,0.0809,0.4486,74.79,12414.7,0.4533
621,Santos-Avila,Streamer,4591,445,226,0.0971,0.5085,109.18,24675,0.3627
622,Morris-Brewer,Streamer,3996,552,228,0.1382,0.4135,135.83,30969.9,0.471
623,Pearson and Sons,Streamer,1995,120,56,0.0606,0.4737,122.38,6853.1,0.5197
624,"Rodgers, Jefferson and Johnson",Streamer,6660,927,421,0.1393,0.4551,88.16,37115.4,0.5719
625,Butler and Sons,Streamer,5524,475,237,0.086,0.5003,123.49,29268.2,0.4849
626,Osborn Group,Streamer,623,47,19,0.0763,0.4227,136.15,2586.8,0.4461
627,Lopez-Curry,Streamer,7253,469,224,0.0648,0.4796,126.57,28350.7,0.5397
628,Mcdowell-Smith,Streamer,5809,349,157,0.0601,0.4525,102.04,16020.9,0.4476
629,"Morrison, Hebert and Rogers",Streamer,7788,526,278,0.0676,0.5303,98.26,27315.6,0.3634
630,Hays-Daniels,Streamer,6920,767,299,0.1108,0.3901,119.52,35737,0.3683
631,Small-Anderson,Streamer,2940,243,116,0.0827,0.4787,91.34,10595.5,0.4418
632,"Mcdonald, Lee and Rodriguez",Streamer,3646,231,116,0.0636,0.5052,112.76,13080.5,0.4615
633,Simon Ltd,Streamer,6285,802,399,0.1277,0.4977,115.48,46076.1,0.4324
634,Higgins-Smith,Streamer,6957,952,482,0.1369,0.5071,106.76,51458.6,0.5664
635,Gibbs-Bradley,Streamer,3706,383,195,0.1035,0.5102,117.73,22957.4,0.4617
636,Thompson Ltd,Streamer,848,108,56,0.1274,0.5217,123.68,6926.19,0.4999
637,Wilcox-Robertson,Streamer,6520,492,187,0.0755,0.3811,130.04,24317.2,0.3662
638,Morales Inc,Streamer,7431,1028,515,0.1385,0.5015,121.48,62563.6,0.471
639,Holden Group,Streamer,1580,202,86,0.1284,0.4282,140.83,12111.8,0.4689
640,Boyle-Smith,Streamer,6974,462,216,0.0663,0.4687,82.32,17781.3,0.3886
641,Young-Molina,Streamer,1458,162,77,0.1115,0.48,158.89,12234.6,0.4656
642,Turner-Sharp,Streamer,1640,196,89,0.1197,0.4571,130.56,11620.1,0.4688
643,Green LLC,Streamer,7673,1042,373,0.1359,0.3583,77.44,28884.8,0.3975
644,"Young, Contreras and Marshall",Streamer,5013,569,292,0.1137,0.5144,121.95,35609.5,0.442
645,Sullivan PLC,Streamer,5099,334,117,0.0656,0.3525,120.47,14094.6,0.4796
646,"Carrillo, Vaughn and Fowler",Streamer,1513,92,49,0.0614,0.5416,141.35,6926.35,0.5771
647,Richardson-Walker,Streamer,736,50,18,0.0683,0.3662,154.71,2784.82,0.4713
648,Mendoza Group,Streamer,525,47,22,0.0913,0.4877,93.83,2064.2,0.4787
649,"Zhang, Brooks and Miles",Streamer,2306,242,108,0.105,0.449,71.94,7769.47,0.3591
650,Todd-Pham,Streamer,969,102,43,0.1062,0.4264,143.65,6177.08,0.4886
651,Gill Ltd,Streamer,2011,211,75,0.1054,0.3598,124.13,9309.41,0.4036
652,"Marks, Miller and Griffin",Streamer,5122,510,276,0.0997,0.5422,155.7,42972.9,0.5606
653,"Cox, Stark and Rodriguez",Streamer,2775,282,139,0.1017,0.4942,108.47,15076.9,0.4835
654,"Leach, Harris and Herrera",Streamer,1860,187,87,0.1009,0.4666,81.64,7102.35,0.4607
655,Murphy PLC,Streamer,6670,806,301,0.1209,0.3737,115.3,34706.1,0.3749
656,Wilson-Harris,Streamer,534,52,28,0.0988,0.5435,150.46,4212.99,0.5171
657,"Burns, Nolan and Griffin",Streamer,7205,986,400,0.137,0.4062,154.81,61925.1,0.3609
658,Chavez PLC,Streamer,4623,362,142,0.0784,0.3925,90.91,12909.6,0.4823
659,Bryant-Brown,Streamer,1113,99,49,0.089,0.5,102.13,5004.29,0.4542
660,Chambers-Parker,Streamer,5103,690,306,0.1353,0.4435,119.77,36649.5,0.547
661,Foster Inc,Streamer,6218,747,385,0.1202,0.5162,143.59,55283.6,0.5455
662,"Robinson, Jones and Henderson",Streamer,1735,199,80,0.1151,0.4042,140.84,11267.5,0.3874
663,"Brown, Mcknight and Michael",Streamer,3576,231,122,0.0648,0.5323,137.03,16717.8,0.4629
664,Andersen Group,Streamer,3986,362,134,0.091,0.371,86.15,11543.6,0.3797
665,Mitchell and Sons,Streamer,3555,376,133,0.1059,0.3542,86.87,11553.1,0.4974
666,Cannon Ltd,Streamer,6799,563,284,0.0829,0.5053,142.09,40354.7,0.3958
667,"Stuart, Brooks and Vance",Streamer,2477,290,121,0.1172,0.42,73.94,8946.99,0.4362
668,Kane-Knox,Streamer,6250,774,307,0.124,0.3971,113.42,34821.4,0.413
669,Miller-Brandt,Streamer,6769,751,326,0.111,0.4347,130.36,42496.1,0.451
670,"Anderson, Dalton and Wilson",Streamer,3339,464,170,0.139,0.3681,91.85,15614.5,0.5654
671,"Long, Anderson and Irwin",Streamer,4746,507,263,0.1068,0.5203,97.53,25651.2,0.4601
672,Avila LLC,Streamer,2340,214,108,0.0917,0.5087,76.66,8279.4,0.4125
673,Nunez-Stephens,Streamer,7647,588,212,0.077,0.3618,71.39,15134.5,0.5558
674,"Gray, Hall and Murray",Streamer,6600,650,349,0.0986,0.5373,123.08,42956.6,0.505
675,Hill Ltd,Streamer,2521,203,71,0.0808,0.3543,76.8,5453,0.5423
676,Johnson Ltd,Streamer,6625,512,194,0.0774,0.3791,128.61,24949.7,0.5441
677,Mendez-Mayer,Streamer,5733,653,303,0.114,0.4652,152.84,46310.2,0.5237
678,Allen Inc,Streamer,543,67,30,0.1247,0.4533,154.1,4622.91,0.4595
679,Wheeler Group,Streamer,4319,541,219,0.1253,0.4062,87.52,19167.2,0.5378
680,"Powers, Brennan and Sanchez",Streamer,3019,211,102,0.0701,0.4874,81.37,8300.16,0.5288
681,Morales and Sons,Streamer,2542,187,97,0.0738,0.5208,80.14,7773.95,0.3715
682,"Robinson, Shields and Brown",Streamer,5930,397,140,0.067,0.3528,126.8,17752,0.5751
683,"Holder, Young and Hendricks",Streamer,1833,164,64,0.0898,0.3922,83.98,5374.69,0.4881
684,"Flores, Harper and Chambers",Streamer,3930,510,249,0.1299,0.4894,86.27,21482.4,0.5081
685,Young-Walter,Streamer,2840,258,95,0.0909,0.3696,126,11969.6,0.4246
686,"Boyd, Gutierrez and Hill",Streamer,5325,377,155,0.0709,0.4119,94.34,14622.1,0.55
687,"Fry, Hobbs and Buck",Streamer,2103,154,84,0.0734,0.5479,73.03,6134.81,0.5187
688,"Shelton, Peters and Williams",Streamer,5536,363,173,0.0656,0.4783,130.43,22564.2,0.5789
689,David-Powers,Streamer,589,53,27,0.0907,0.5211,145.95,3940.66,0.4319
690,"Flores, Butler and Hernandez",Streamer,739,68,37,0.0921,0.545,72.54,2683.93,0.5672
691,White-Medina,Streamer,3702,265,128,0.0717,0.4853,127.39,16305.9,0.4804
692,Atkinson LLC,Streamer,7744,721,377,0.0932,0.5236,71.88,27099.9,0.4775
693,"Thomas, Ford and Brown",Streamer,7780,639,304,0.0822,0.4766,105.21,31983,0.452
694,Faulkner-Grant,Streamer,2920,248,102,0.0852,0.4145,86.33,8805.87,0.4399
695,Price LLC,Streamer,7365,443,211,0.0602,0.4777,140.8,29708.9,0.3939
696,Rivera Inc,Streamer,5117,685,256,0.1339,0.3743,120.26,30787,0.5759
697,Boone-Davis,Streamer,5833,429,195,0.0737,0.4562,85.18,16609.3,0.5265
698,"Calderon, Williams and Bennett",Streamer,7779,685,349,0.0881,0.5109,74.85,26122.4,0.4549
699,"Morrison, Russo and Lopez",Streamer,6782,886,484,0.1307,0.5463,141.03,68259.7,0.523
700,"Ramsey, Hansen and Mendoza",Streamer,2321,220,96,0.0949,0.4371,135.22,12980.7,0.5415
701,Turner-Stout,Streamer,6527,740,298,0.1135,0.4033,115.54,34430.7,0.4895
702,Giles Ltd,Streamer,4908,404,174,0.0825,0.4326,147.02,25582,0.4661
703,Burgess Group,Streamer,702,60,22,0.0855,0.3747,104.76,2304.76,0.4042
704,Dominguez Ltd,Streamer,3953,512,217,0.1297,0.4242,89.85,19498.1,0.4535
705,Sanders and Sons,Streamer,5092,343,168,0.0675,0.4915,133.66,22455.5,0.5554
706,"Morris, Campbell and Owens",Streamer,1405,99,42,0.0705,0.4313,91.78,3854.56,0.4719
707,"Howard, Green and Hunt",Streamer,5112,627,336,0.1227,0.5363,112.4,37764.8,0.5539
708,Owens-Lang,Streamer,5564,425,194,0.0764,0.4588,76.79,14896.4,0.4793
709,"Harrison, Franco and Rocha",Streamer,3028,237,122,0.0785,0.5158,109.17,13318.4,0.4357
710,Edwards-Williams,Streamer,7748,617,310,0.0797,0.5036,153.6,47615.2,0.4123
711,Figueroa Inc,Streamer,4545,620,274,0.1366,0.4423,132.16,36213.1,0.371
712,Tran-Silva,Streamer,3201,424,164,0.1325,0.388,134.9,22123.3,0.3927
713,"Butler, Hernandez and Rivera",Streamer,6524,898,461,0.1377,0.5141,89.08,41065.9,0.5586
714,Hudson-Sanchez,Streamer,1275,124,44,0.0975,0.3594,127.31,5601.76,0.566
715,"Pena, Cohen and Scott",Streamer,990,67,27,0.0679,0.4173,87.85,2372.06,0.457
716,Levy-May,Streamer,3398,287,113,0.0847,0.3945,127.43,14399.5,0.5294
717,Murray-Oconnor,Streamer,7262,776,279,0.107,0.3602,155.29,43326.5,0.5046
718,Jackson-Cortez,Streamer,1305,131,48,0.1005,0.37,138.46,6646.17,0.4074
719,White-Preston,Streamer,4103,504,263,0.1229,0.5231,115.7,30428.3,0.4586
720,"Bernard, Warren and Combs",Streamer,5721,660,340,0.1155,0.5153,131.98,44874.2,0.3506
721,Landry Ltd,Streamer,3042,373,143,0.1227,0.3849,77.78,11122.1,0.4508
722,Duran Group,Streamer,3720,313,129,0.0842,0.4134,155.67,20081.8,0.4523
723,Kirby and Sons,Streamer,7753,587,213,0.0758,0.3635,109.4,23301.4,0.5745
724,Mann Inc,Streamer,1820,230,99,0.1267,0.4345,97.46,9648.3,0.5526
725,Wagner LLC,Streamer,6486,852,380,0.1314,0.447,127,48261.9,0.5258
726,Williamson Ltd,Streamer,4612,458,230,0.0995,0.5039,112.08,25777.6,0.4492
727,"Durham, Hopkins and Smith",Streamer,1218,138,65,0.1133,0.4721,70.85,4605.29,0.3635
728,"Arnold, Smith and Moreno",Streamer,5442,722,266,0.1328,0.3697,105.23,27991,0.3756
729,Nichols-Mitchell,Streamer,3096,428,224,0.1383,0.5247,114.71,25694.6,0.5338
730,"Li, Craig and Drake",Streamer,6073,618,325,0.1019,0.5264,82.3,26747.8,0.5714
731,Rodriguez Inc,Streamer,5772,578,270,0.1002,0.4677,97.59,26348.2,0.3741
732,"Hernandez, Lee and Fox",Streamer,7478,711,301,0.0952,0.424,114.69,34520.2,0.3886
733,Adams-Sanders,Streamer,1109,140,56,0.1266,0.4026,72.18,4042.16,0.5113
734,Chung-Stevens,Streamer,2384,332,175,0.1395,0.5296,84.86,14849.8,0.448
735,Branch and Sons,Streamer,7442,765,355,0.1028,0.4641,133.64,47440.6,0.4753
736,Sutton-Abbott,Streamer,3811,452,166,0.1189,0.3682,132.22,21948.9,0.3713
737,"Frey, Santos and Johnson",Streamer,1997,253,136,0.1269,0.5412,73.31,9970.3,0.4178
738,Gray-Tran,Streamer,7586,710,332,0.0937,0.4684,84.17,27944.5,0.3817
739,Walsh Ltd,Streamer,5224,629,283,0.1205,0.4501,149.51,42310.8,0.4532
740,Miller Group,Streamer,7908,866,412,0.1095,0.4765,90.4,37245.8,0.5544
741,"Mueller, Knight and Hodge",Streamer,2596,170,92,0.0657,0.5447,93.26,8580.19,0.4454
742,Jacobson Inc,Streamer,1705,202,77,0.1186,0.3833,77.31,5952.71,0.4262
743,Lewis Ltd,Streamer,3659,446,240,0.122,0.5395,134.24,32217.6,0.5234
744,"Alvarez, Williams and Jones",Streamer,6522,491,236,0.0754,0.4824,129.31,30517.4,0.4076
745,Lam-Elliott,Streamer,893,98,35,0.1108,0.3594,72.77,2546.9,0.4494
746,White LLC,Streamer,3814,270,120,0.0708,0.4454,113.57,13628.1,0.4998
747,Ali PLC,Streamer,1818,249,110,0.1374,0.4435,113.28,12460.7,0.49
748,Goodwin Ltd,Streamer,5391,392,196,0.0728,0.5021,87.97,17242.2,0.5338
749,Hickman-Evans,Streamer,1661,182,79,0.1098,0.4378,132.94,10502.5,0.46
750,"Allen, Davenport and Price",Streamer,5243,723,329,0.1381,0.4551,142.9,47013,0.4782
751,"Rivera, Campos and Taylor",Email,1273,78,29,0.0618,0.3738,114.55,3322.07,0.3312
752,"Ramsey, Mason and Mccann",Email,5905,335,104,0.0569,0.3111,122.57,12747,0.5157
753,Davis and Sons,Email,10017,325,90,0.0325,0.2777,104.87,9438.31,0.4803
754,Peterson PLC,Email,1501,81,28,0.0545,0.3457,57.22,1602.05,0.4662
755,"Sanders, Ayala and Johnson",Email,1115,59,17,0.0531,0.2964,93.19,1584.24,0.5146
756,Bowers-Hayes,Email,7507,381,120,0.0509,0.3154,97.37,11685,0.4015
757,Kelly Group,Email,1640,84,19,0.0514,0.2304,115.57,2195.9,0.4516
758,Lopez-Willis,Email,10037,331,76,0.033,0.2313,116.19,8830.16,0.5019
759,Miller-Montgomery,Email,4883,287,108,0.0589,0.3796,113.61,12270,0.4772
760,Marquez Inc,Email,5102,155,38,0.0305,0.2513,57.28,2176.6,0.3903
761,Moore-Dawson,Email,7510,247,56,0.033,0.2292,95.71,5359.86,0.315
762,"Moore, Price and Ward",Email,3739,144,43,0.0386,0.3014,68.53,2946.86,0.5075
763,Smith LLC,Email,2050,115,35,0.0564,0.3082,70.13,2454.72,0.4449
764,Ward-Nelson,Email,5730,181,66,0.0317,0.3655,55.44,3659.23,0.4637
765,Miller Group,Email,5403,341,114,0.0633,0.3345,55.89,6371.07,0.373
766,Hawkins-Hunt,Email,9351,612,156,0.0655,0.256,94.33,14716.2,0.4636
767,Johnson LLC,Email,7413,323,94,0.0436,0.2938,60.08,5647.42,0.3375
768,"Davis, George and Nguyen",Email,1747,111,33,0.0639,0.3062,96.64,3189.03,0.4872
769,Smith-Gutierrez,Email,7972,272,90,0.0342,0.3322,56.36,5072.53,0.3879
770,Hardy PLC,Email,3538,184,40,0.0522,0.2205,120.47,4818.95,0.4497
771,Armstrong and Sons,Email,6317,347,95,0.0551,0.2751,116.19,11037.9,0.3266
772,"James, Taylor and Turner",Email,8540,325,107,0.0382,0.3315,110.43,11816.3,0.4072
773,Thomas-Jackson,Email,10773,441,154,0.0409,0.3514,103.07,15872.4,0.3464
774,Fisher-Washington,Email,4311,197,47,0.0459,0.239,75.9,3567.52,0.3931
775,Ward and Sons,Email,10567,578,195,0.0547,0.3379,60.59,11815,0.5
776,"Weber, Wheeler and Gonzalez",Email,7840,501,190,0.064,0.3795,120.57,22907.8,0.3989
777,Taylor Inc,Email,10178,425,154,0.0418,0.3641,60.92,9382.35,0.506
778,Cook-Oliver,Email,4593,144,39,0.0315,0.2717,109.72,4278.97,0.3492
779,Alexander-Jordan,Email,11815,817,253,0.0692,0.3108,104.93,26547.2,0.399
780,"Mccann, Taylor and Flores",Email,2072,96,33,0.0463,0.3478,80.78,2665.85,0.3853
781,"Harris, Edwards and Oconnell",Email,4510,193,56,0.043,0.2914,122.66,6868.68,0.3662
782,Carter-Neal,Email,4598,226,54,0.0493,0.2404,107.92,5827.75,0.5124
783,Faulkner-Casey,Email,6804,370,115,0.0545,0.3118,75.87,8725.3,0.47
784,Bennett-Velasquez,Email,1041,41,12,0.0397,0.3123,56.9,682.77,0.4324
785,Diaz-Frederick,Email,11093,564,137,0.0509,0.244,66.57,9120.31,0.3068
786,Vargas PLC,Email,9916,405,149,0.0409,0.3693,124.5,18550,0.4816
787,Maldonado PLC,Email,9165,490,148,0.0535,0.3035,114.65,16968.2,0.4805
788,Benton Group,Email,1272,50,12,0.04,0.2438,127.15,1525.85,0.313
789,"Clark, Salinas and Guerra",Email,1622,103,28,0.0637,0.2801,75.34,2109.49,0.4259
790,Fuentes Group,Email,11869,489,164,0.0413,0.3361,129.52,21241.9,0.3003
791,"Porter, Schultz and Allen",Email,4124,272,102,0.066,0.3771,123.72,12619,0.3042
792,"Moore, Henderson and Bennett",Email,4749,188,43,0.0397,0.233,71.73,3084.41,0.3793
793,Ewing-Mendoza,Email,5276,306,78,0.0581,0.2572,118.2,9219.8,0.4231
794,Ferguson-Mclean,Email,11251,455,150,0.0405,0.3309,94.36,14153.6,0.4519
795,"Barnes, Johnson and Schmitt",Email,7749,387,110,0.05,0.2859,100.07,11007.5,0.4287
796,"Woodard, Herrera and Little",Email,5037,351,95,0.0698,0.2734,71.9,6830.05,0.4147
797,Rodriguez and Sons,Email,10163,635,204,0.0625,0.3228,108.04,22039.2,0.4125
798,"Ortega, Jackson and Salazar",Email,3546,207,58,0.0586,0.285,119.4,6925.21,0.424
799,"Terrell, Byrd and Ross",Email,10952,688,257,0.0628,0.3742,97.17,24972.7,0.5081
800,Sheppard-Jordan,Email,6367,400,106,0.0629,0.2652,116.19,12316.6,0.3928
801,Garcia and Sons,Email,8688,338,114,0.039,0.3379,109.77,12513.9,0.4251
802,"Burgess, Grant and Watts",Email,5449,295,73,0.0542,0.2489,97,7080.73,0.3693
803,Griffin Group,Email,3658,170,63,0.0465,0.3731,127.57,8037.1,0.3834
804,Barton-Chapman,Email,8869,358,88,0.0404,0.246,96.27,8471.69,0.3453
805,"Hernandez, Cuevas and Webb",Email,4816,324,109,0.0674,0.3383,127.64,13912.3,0.3354
806,Perry-Nixon,Email,4703,243,78,0.0518,0.325,92.85,7242.59,0.5032
807,Guerra Ltd,Email,8610,437,140,0.0508,0.3212,77.97,10915.5,0.5027
808,Bailey LLC,Email,1588,105,31,0.0666,0.2959,104.32,3233.87,0.4219
809,Mueller-Boyd,Email,5947,296,105,0.0498,0.3574,120.57,12660.2,0.4753
810,Alvarez-Kim,Email,11946,414,134,0.0347,0.3245,100.68,13491.4,0.3758
811,"Chavez, Jones and Williams",Email,4723,210,76,0.0445,0.3648,72.65,5521.16,0.4416
812,"Wilson, Sweeney and Wong",Email,11311,608,164,0.0538,0.2706,114.86,18837.5,0.4986
813,"Marsh, Spears and Yang",Email,5864,362,102,0.0619,0.2828,60.44,6164.54,0.3562
814,"Thompson, Moore and Castro",Email,2333,82,29,0.0354,0.3537,125.52,3640.2,0.3298
815,Hall-Sullivan,Email,9935,482,116,0.0486,0.2412,75.66,8776.9,0.3249
816,Lopez Ltd,Email,8598,303,93,0.0353,0.3091,99.56,9259.22,0.5111
817,Foster-Mclaughlin,Email,4710,291,89,0.0619,0.3059,112.84,10043.2,0.4599
818,Cole Group,Email,2249,98,26,0.0439,0.2689,62.3,1619.72,0.4281
819,Smith-Lewis,Email,11295,597,218,0.0529,0.3653,111.48,24303.4,0.4851
820,Goodwin-Stokes,Email,1991,89,19,0.045,0.222,57.22,1087.22,0.4202
821,Ray PLC,Email,7720,243,60,0.0316,0.2487,129.44,7766.31,0.3516
822,Diaz and Sons,Email,11451,589,182,0.0514,0.3099,112.13,20408.4,0.4117
823,Wilson-Lambert,Email,8238,293,99,0.0357,0.341,70.16,6945.38,0.477
824,Rose-Fowler,Email,9422,639,214,0.0678,0.3362,92.49,19791.8,0.5135
825,"Price, Long and Wilson",Email,10284,378,143,0.0368,0.3784,125.13,17893,0.4038
826,Bruce-Williamson,Email,3382,118,35,0.0349,0.2985,55.15,1930.33,0.313
827,"Mccarthy, Evans and Mendez",Email,9347,409,128,0.0439,0.3148,55.09,7051.95,0.4286
828,Powers LLC,Email,1557,96,30,0.0623,0.3167,117.78,3533.45,0.3023
829,Allen Inc,Email,3606,148,51,0.0413,0.3507,64.8,3304.61,0.3735
830,Brooks and Sons,Email,1297,46,13,0.0358,0.2913,90.58,1177.6,0.3529
831,"Price, Carlson and Andrews",Email,7826,240,84,0.0308,0.3528,118.98,9994.65,0.4152
832,Lopez-Reid,Email,9405,418,144,0.0445,0.346,81.65,11757.6,0.4744
833,"Ellison, Arias and Thompson",Email,4404,300,81,0.0682,0.2706,122.81,9947.99,0.4646
834,Burns and Sons,Email,11773,773,223,0.0657,0.2892,104.28,23253.5,0.444
835,Edwards Group,Email,2038,77,22,0.0379,0.2892,94.36,2075.95,0.3696
836,"Brown, Howard and Smith",Email,2225,132,31,0.0594,0.2421,104.89,3251.45,0.4051
837,Lee Group,Email,5478,314,112,0.0574,0.3594,128.02,14338.2,0.4662
838,"Wagner, Simpson and Cohen",Email,6605,346,110,0.0525,0.3202,127.62,14038.7,0.404
839,Mckinney-Wallace,Email,5227,357,105,0.0683,0.2962,88.07,9247.23,0.4895
840,Miller Inc,Email,6741,451,119,0.067,0.2653,104.01,12377.7,0.5099
841,Carter LLC,Email,4468,310,111,0.0696,0.3583,63.52,7050.26,0.5002
842,Medina and Sons,Email,5379,325,118,0.0604,0.3633,64.15,7569.18,0.3901
843,Cunningham-Barton,Email,2890,200,49,0.0693,0.2463,104.27,5109.44,0.3865
844,Dunn-Wilson,Email,5982,417,151,0.0698,0.3632,93.09,14056.5,0.3131
845,Adams PLC,Email,9678,660,233,0.0682,0.3541,106.69,24858,0.3527
846,Weaver-Sherman,Email,7445,520,126,0.0699,0.2426,118.69,14954.4,0.5117
847,"Alexander, Robinson and Coleman",Email,2969,127,34,0.0431,0.2704,107.45,3653.26,0.3019
848,"Greer, Potter and Evans",Email,2351,107,26,0.0458,0.2513,82.77,2152.15,0.5074
849,Cole LLC,Email,1110,54,20,0.0495,0.3756,100.45,2009.03,0.3912
850,Gonzales Inc,Email,11387,727,199,0.0639,0.2744,118.95,23670.2,0.3065
851,Clark Ltd,Email,6910,257,89,0.0373,0.3471,90.17,8025.02,0.4606
852,"Norris, Callahan and Bishop",Email,11027,526,179,0.0478,0.3412,56.06,10034.8,0.4291
853,Martin-Taylor,Email,8065,476,145,0.0591,0.3057,76.16,11043.9,0.3062
854,Li Inc,Email,10981,761,250,0.0694,0.3294,96.38,24094.6,0.5006
855,"Bell, Campbell and Ryan",Email,2184,92,21,0.0423,0.23,55.52,1165.83,0.5133
856,Werner-Carter,Email,11242,412,91,0.0367,0.2224,55.61,5060.26,0.3487
857,"Adams, Hodge and Duke",Email,6017,371,130,0.0617,0.3512,67.94,8832.18,0.3031
858,"Ochoa, Taylor and Brady",Email,8948,364,96,0.0408,0.2662,77.47,7437.21,0.364
859,Sellers-Riddle,Email,9804,361,95,0.0369,0.2643,85.48,8120.18,0.4731
860,"Martinez, Cline and Wright",Email,8504,480,174,0.0566,0.363,126.93,22085.9,0.5032
861,"Morris, Wright and Bridges",Email,8911,517,190,0.0581,0.3685,116.21,22080.5,0.4103
862,Burns-Ray,Email,2877,130,38,0.0452,0.2944,99.57,3783.61,0.4946
863,Burton-Brooks,Email,9609,320,93,0.0334,0.2931,98.54,9164.05,0.3006
864,Schultz Inc,Email,1155,67,16,0.0587,0.2489,82.64,1322.17,0.3683
865,Robertson-Ramirez,Email,11489,779,256,0.0679,0.3298,113.33,29012.7,0.4362
866,Gibson-Freeman,Email,10558,729,267,0.0691,0.3667,57.18,15266.5,0.3099
867,"Smith, Schroeder and Oconnor",Email,10968,370,93,0.0338,0.2515,101.34,9424.6,0.345
868,"Stanton, Reid and Terry",Email,7993,509,177,0.0637,0.3484,96.27,17039,0.3565
869,Flynn Group,Email,1373,64,22,0.0467,0.3578,64.9,1427.85,0.4537
870,Donaldson and Sons,Email,6778,258,96,0.0381,0.3757,92.81,8909.75,0.3979
871,Adams-Clayton,Email,3858,134,30,0.0348,0.23,97.08,2912.44,0.334
872,Kelley-Anderson,Email,10102,585,141,0.058,0.2417,100.1,14114.5,0.4903
873,Kramer-Shannon,Email,10382,495,182,0.0477,0.3691,120.26,21886.9,0.3048
874,Williams Ltd,Email,1761,120,38,0.0682,0.3249,88.2,3351.79,0.3112
875,Smith-Noble,Email,10711,591,162,0.0552,0.275,95.68,15500.8,0.3204
876,Alexander Inc,Email,9409,605,187,0.0643,0.3102,117.5,21972.9,0.4926
